Date,Rate,"ISO Code From","ISO Code To"
"8/5/2024 Monday",1.09586,EUR,USD
"8/6/2024 Tuesday",1.09306,EUR,USD
"8/7/2024 Wednesday",1.09267,EUR,USD
"8/8/2024 Thursday",1.09174,EUR,USD
"8/9/2024 Friday",1.09238,EUR,USD
"8/12/2024 Monday",1.09315,EUR,USD
"8/13/2024 Tuesday",1.09943,EUR,USD
"8/14/2024 Wednesday",1.10125,EUR,USD
"8/15/2024 Thursday",1.09745,EUR,USD
"8/16/2024 Friday",1.10355,EUR,USD
"8/19/2024 Monday",1.10862,EUR,USD
"8/20/2024 Tuesday",1.11293,EUR,USD
"8/21/2024 Wednesday",1.11537,EUR,USD
"8/22/2024 Thursday",1.11154,EUR,USD
"8/23/2024 Friday",1.12026,EUR,USD
"8/26/2024 Monday",1.11632,EUR,USD
"8/27/2024 Tuesday",1.11840,EUR,USD
"8/28/2024 Wednesday",1.11240,EUR,USD
"8/29/2024 Thursday",1.10781,EUR,USD
"8/30/2024 Friday",1.10611,EUR,USD
"9/2/2024 Monday",1.10717,EUR,USD
"9/3/2024 Tuesday",1.10448,EUR,USD
"9/4/2024 Wednesday",1.10836,EUR,USD
"9/5/2024 Thursday",1.11102,EUR,USD
"9/6/2024 Friday",1.10902,EUR,USD
"9/9/2024 Monday",1.10395,EUR,USD
"9/10/2024 Tuesday",1.10208,EUR,USD
"9/11/2024 Wednesday",1.10140,EUR,USD
"9/12/2024 Thursday",1.10713,EUR,USD
"9/13/2024 Friday",1.10875,EUR,USD
"9/16/2024 Monday",1.11289,EUR,USD
"9/17/2024 Tuesday",1.11159,EUR,USD
"9/18/2024 Wednesday",1.11228,EUR,USD
"9/19/2024 Thursday",1.11618,EUR,USD
"9/20/2024 Friday",1.11755,EUR,USD
"9/23/2024 Monday",1.11123,EUR,USD
"9/24/2024 Tuesday",1.11807,EUR,USD
"9/25/2024 Wednesday",1.11325,EUR,USD
"9/26/2024 Thursday",1.11775,EUR,USD
"9/27/2024 Friday",1.11715,EUR,USD
"9/30/2024 Monday",1.11393,EUR,USD
"10/1/2024 Tuesday",1.10693,EUR,USD
"10/2/2024 Wednesday",1.10476,EUR,USD
"10/3/2024 Thursday",1.10341,EUR,USD
"10/4/2024 Friday",1.09816,EUR,USD
"10/7/2024 Monday",1.09775,EUR,USD
"10/8/2024 Tuesday",1.09788,EUR,USD
"10/9/2024 Wednesday",1.09383,EUR,USD
"10/10/2024 Thursday",1.09352,EUR,USD
"10/11/2024 Friday",1.09431,EUR,USD
"10/14/2024 Monday",1.09062,EUR,USD
"10/15/2024 Tuesday",1.08903,EUR,USD
"10/16/2024 Wednesday",1.08608,EUR,USD
"10/17/2024 Thursday",1.08313,EUR,USD
"10/18/2024 Friday",1.08725,EUR,USD
"10/21/2024 Monday",1.08174,EUR,USD
"10/22/2024 Tuesday",1.07986,EUR,USD
"10/23/2024 Wednesday",1.07825,EUR,USD
"10/24/2024 Thursday",1.08282,EUR,USD
"10/25/2024 Friday",1.08006,EUR,USD
"10/28/2024 Monday",1.08121,EUR,USD
"10/29/2024 Tuesday",1.08190,EUR,USD
"10/30/2024 Wednesday",1.08559,EUR,USD
"10/31/2024 Thursday",1.08832,EUR,USD
"11/1/2024 Friday",1.08705,EUR,USD
"11/4/2024 Monday",1.08776,EUR,USD
"11/5/2024 Tuesday",1.09175,EUR,USD
"11/6/2024 Wednesday",1.07302,EUR,USD
"11/7/2024 Thursday",1.08010,EUR,USD
"11/8/2024 Friday",1.07235,EUR,USD
"11/11/2024 Monday",1.06576,EUR,USD
"11/12/2024 Tuesday",1.06163,EUR,USD
"11/13/2024 Wednesday",1.05641,EUR,USD
"11/14/2024 Thursday",1.05273,EUR,USD
"11/15/2024 Friday",1.05455,EUR,USD
"11/18/2024 Monday",1.05954,EUR,USD
"11/19/2024 Tuesday",1.05998,EUR,USD
"11/20/2024 Wednesday",1.05450,EUR,USD
"11/21/2024 Thursday",1.04726,EUR,USD
"11/22/2024 Friday",1.04183,EUR,USD
"11/25/2024 Monday",1.04968,EUR,USD
"11/26/2024 Tuesday",1.04863,EUR,USD
"11/27/2024 Wednesday",1.05658,EUR,USD
"11/28/2024 Thursday",1.05594,EUR,USD
"11/29/2024 Friday",1.05799,EUR,USD
"12/2/2024 Monday",1.04997,EUR,USD
"12/3/2024 Tuesday",1.05080,EUR,USD
"12/4/2024 Wednesday",1.05142,EUR,USD
"12/5/2024 Thursday",1.05865,EUR,USD
"12/6/2024 Friday",1.05756,EUR,USD
"12/9/2024 Monday",1.05536,EUR,USD
"12/10/2024 Tuesday",1.05317,EUR,USD
"12/11/2024 Wednesday",1.05006,EUR,USD
"12/12/2024 Thursday",1.04715,EUR,USD
"12/13/2024 Friday",1.05056,EUR,USD
"12/16/2024 Monday",1.05145,EUR,USD
"12/17/2024 Tuesday",1.04945,EUR,USD
"12/18/2024 Wednesday",1.03556,EUR,USD
"12/19/2024 Thursday",1.03645,EUR,USD
"12/20/2024 Friday",1.04315,EUR,USD
"12/23/2024 Monday",1.04074,EUR,USD
"12/24/2024 Tuesday",1.04035,EUR,USD
"12/25/2024 Wednesday",1.04005,EUR,USD
"12/26/2024 Thursday",1.04237,EUR,USD
"12/27/2024 Friday",1.04255,EUR,USD
"12/30/2024 Monday",1.04034,EUR,USD
"12/31/2024 Tuesday",1.03500,EUR,USD
"1/1/2025 Wednesday",1.03515,EUR,USD
"1/2/2025 Thursday",1.02666,EUR,USD
"1/3/2025 Friday",1.03125,EUR,USD
"1/6/2025 Monday",1.03833,EUR,USD
"1/7/2025 Tuesday",1.03422,EUR,USD
"1/8/2025 Wednesday",1.03152,EUR,USD
"1/9/2025 Thursday",1.03000,EUR,USD
"1/10/2025 Friday",1.02565,EUR,USD
"1/13/2025 Monday",1.02690,EUR,USD
"1/14/2025 Tuesday",1.03046,EUR,USD
"1/15/2025 Wednesday",1.02935,EUR,USD
"1/16/2025 Thursday",1.03022,EUR,USD
"1/17/2025 Friday",1.03025,EUR,USD
"1/20/2025 Monday",1.04212,EUR,USD
"1/21/2025 Tuesday",1.04065,EUR,USD
"1/22/2025 Wednesday",1.04067,EUR,USD
"1/23/2025 Thursday",1.04161,EUR,USD
"1/24/2025 Friday",1.05035,EUR,USD
"1/27/2025 Monday",1.04458,EUR,USD
"1/28/2025 Tuesday",1.04298,EUR,USD
"1/29/2025 Wednesday",1.04221,EUR,USD
"1/30/2025 Thursday",1.03915,EUR,USD
"1/31/2025 Friday",1.03615,EUR,USD
